Date,Revenue,Visitors,Buyers,Orders,Pageviews,Units Sold,Conversion Rate,Revenue per Buyer,Visitor Value,Add to Cart Visitors,Add to Cart Units,Wishlists,Wishlist Visitor
2018-11-30,0.0,47,0,0,139,0,0.00%,0.0,0.0,1,1,-,-
2018-12-01,0.0,53,0,0,174,0,0.00%,0.0,0.0,1,1,1,1
2018-12-02,0.0,51,0,0,179,0,0.00%,0.0,0.0,0,0,1,1
2018-12-03,0.0,56,0,0,161,0,0.00%,0.0,0.0,1,4,-,-
2018-12-04,0.0,57,0,0,156,0,0.00%,0.0,0.0,1,2,-,-
2018-12-05,0.0,54,0,0,253,0,0.00%,0.0,0.0,2,2,1,1
2018-12-06,0.0,69,0,0,172,0,0.00%,0.0,0.0,1,1,1,1
2018-12-07,0.0,64,0,0,181,0,0.00%,0.0,0.0,3,3,-,-
2018-12-08,335.19,62,1,1,141,1,1.61%,335.19,5.41,1,1,3,1
2018-12-09,0.0,71,0,0,286,0,0.00%,0.0,0.0,3,3,3,2
2018-12-10,0.0,95,0,0,259,0,0.00%,0.0,0.0,4,5,-,-
2018-12-11,51.1,95,1,1,311,1,1.05%,51.1,0.54,2,2,1,1
2018-12-12,0.0,119,0,0,412,0,0.00%,0.0,0.0,3,5,2,2
2018-12-13,0.0,62,0,0,213,0,0.00%,0.0,0.0,0,0,1,1
2018-12-14,0.0,53,0,0,195,0,0.00%,0.0,0.0,2,4,1,1
2018-12-15,0.0,48,0,0,115,0,0.00%,0.0,0.0,2,2,-,-
2018-12-16,0.0,61,0,0,179,0,0.00%,0.0,0.0,2,3,1,1
2018-12-17,0.0,51,0,0,201,0,0.00%,0.0,0.0,1,3,1,1
2018-12-18,0.0,55,0,0,152,0,0.00%,0.0,0.0,3,3,1,1
2018-12-19,0.0,53,0,0,152,0,0.00%,0.0,0.0,1,1,1,1
2018-12-20,0.0,38,0,0,140,0,0.00%,0.0,0.0,0,0,-,-
2018-12-21,0.0,41,0,0,92,0,0.00%,0.0,0.0,0,0,1,1
2018-12-22,0.0,39,0,0,80,0,0.00%,0.0,0.0,2,2,-,-
2018-12-23,0.0,43,0,0,88,0,0.00%,0.0,0.0,2,2,1,1
2018-12-24,0.0,36,0,0,84,0,0.00%,0.0,0.0,1,1,-,-
2018-12-25,51.1,32,1,1,89,1,3.12%,51.1,1.6,1,1,1,1
2018-12-26,0.0,35,0,0,134,0,0.00%,0.0,0.0,1,1,-,-
2018-12-27,0.0,29,0,0,61,0,0.00%,0.0,0.0,0,0,-,-
2018-12-28,0.0,33,0,0,115,0,0.00%,0.0,0.0,0,0,-,-
2018-12-29,0.0,28,0,0,131,0,0.00%,0.0,0.0,1,1,-,-
2018-12-30,51.1,52,1,1,166,1,1.92%,51.1,0.98,2,2,-,-
2018-12-31,329.99,46,1,1,125,1,2.17%,329.99,7.17,2,2,1,1
2019-01-01,0.0,39,0,0,102,0,0.00%,0.0,0.0,3,4,1,1
2019-01-02,0.0,45,0,0,178,0,0.00%,0.0,0.0,3,4,-,-
2019-01-03,0.0,51,0,0,157,0,0.00%,0.0,0.0,1,1,1,1
2019-01-04,0.0,55,0,0,214,0,0.00%,0.0,0.0,4,4,-,-
2019-01-05,0.0,51,0,0,147,0,0.00%,0.0,0.0,2,4,-,-
2019-01-06,0.0,56,0,0,195,0,0.00%,0.0,0.0,5,5,1,1
2019-01-07,0.0,36,0,0,128,0,0.00%,0.0,0.0,4,4,-,-
2019-01-08,51.1,57,1,1,259,1,1.75%,51.1,0.9,4,7,1,1
2019-01-09,0.0,44,0,0,118,0,0.00%,0.0,0.0,3,4,-,-
2019-01-10,51.1,58,1,1,205,1,1.72%,51.1,0.88,5,8,2,2
2019-01-11,0.0,61,0,0,209,0,0.00%,0.0,0.0,5,8,-,-
2019-01-12,0.0,56,0,0,134,0,0.00%,0.0,0.0,1,1,-,-
2019-01-13,51.1,67,1,1,247,1,1.49%,51.1,0.76,3,3,-,-
2019-01-14,246.29,53,2,2,205,2,3.77%,123.14,4.65,3,4,-,-
2019-01-15,225.19,49,1,1,153,1,2.04%,225.19,4.6,2,2,-,-
2019-01-16,0.0,45,0,0,88,0,0.00%,0.0,0.0,2,3,1,1
2019-01-17,0.0,67,0,0,240,0,0.00%,0.0,0.0,3,4,2,2
2019-01-18,335.19,64,1,1,224,1,1.56%,335.19,5.24,3,3,1,1
2019-01-19,0.0,46,0,0,211,0,0.00%,0.0,0.0,3,3,-,-
2019-01-20,0.0,66,0,0,265,0,0.00%,0.0,0.0,5,7,-,-
2019-01-21,0.0,63,0,0,156,0,0.00%,0.0,0.0,3,3,1,1
2019-01-22,0.0,50,0,0,205,0,0.00%,0.0,0.0,4,4,1,1
2019-01-23,0.0,45,0,0,171,0,0.00%,0.0,0.0,1,1,-,-
2019-01-24,0.0,50,0,0,146,0,0.00%,0.0,0.0,0,0,1,1
2019-01-25,0.0,38,0,0,94,0,0.00%,0.0,0.0,0,0,2,1
2019-01-26,51.1,45,1,1,129,1,2.22%,51.1,1.14,3,5,-,-
2019-01-27,0.0,47,0,0,135,0,0.00%,0.0,0.0,3,3,-,-
2019-01-28,30.19,58,1,1,207,1,1.72%,30.19,0.52,1,2,-,-
2019-01-29,0.0,55,0,0,171,0,0.00%,0.0,0.0,1,1,-,-
2019-01-30,0.0,51,0,0,148,0,0.00%,0.0,0.0,1,1,-,-
2019-01-31,0.0,39,0,0,117,0,0.00%,0.0,0.0,0,0,-,-
2019-02-01,0.0,39,0,0,170,0,0.00%,0.0,0.0,1,3,-,-
2019-02-02,0.0,38,0,0,124,0,0.00%,0.0,0.0,1,1,-,-
2019-02-03,0.0,38,0,0,95,0,0.00%,0.0,0.0,2,2,1,1
2019-02-04,0.0,31,0,0,99,0,0.00%,0.0,0.0,1,1,-,-
2019-02-05,0.0,39,0,0,110,0,0.00%,0.0,0.0,3,4,-,-
2019-02-06,0.0,35,0,0,95,0,0.00%,0.0,0.0,0,0,1,1
2019-02-07,0.0,34,0,0,96,0,0.00%,0.0,0.0,3,3,-,-
2019-02-08,0.0,37,0,0,93,0,0.00%,0.0,0.0,1,1,-,-
2019-02-09,0.0,41,0,0,117,0,0.00%,0.0,0.0,0,0,-,-
2019-02-10,0.0,59,0,0,241,0,0.00%,0.0,0.0,4,5,-,-
2019-02-11,0.0,41,0,0,131,0,0.00%,0.0,0.0,0,0,-,-
2019-02-12,0.0,47,0,0,148,0,0.00%,0.0,0.0,2,2,1,1
2019-02-13,0.0,46,0,0,159,0,0.00%,0.0,0.0,3,3,1,1
2019-02-14,0.0,38,0,0,118,0,0.00%,0.0,0.0,0,0,-,-
2019-02-15,0.0,34,0,0,92,0,0.00%,0.0,0.0,0,0,-,-
2019-02-16,0.0,41,0,0,114,0,0.00%,0.0,0.0,0,0,-,-
2019-02-17,103.8,43,1,1,152,1,2.33%,103.8,2.41,5,7,1,1
2019-02-18,0.0,32,0,0,111,0,0.00%,0.0,0.0,0,0,-,-
2019-02-19,0.0,51,0,0,162,0,0.00%,0.0,0.0,5,5,4,1
2019-02-20,0.0,46,0,0,138,0,0.00%,0.0,0.0,1,4,-,-
2019-02-21,0.0,34,0,0,107,0,0.00%,0.0,0.0,1,2,-,-
2019-02-22,0.0,46,0,0,133,0,0.00%,0.0,0.0,2,2,-,-
2019-02-23,0.0,41,0,0,176,0,0.00%,0.0,0.0,2,5,-,-
2019-02-24,50.7,57,1,1,192,1,1.75%,50.7,0.89,5,6,2,1
2019-02-25,50.7,41,1,1,102,1,2.44%,50.7,1.24,4,4,-,-
2019-02-26,0.0,51,0,0,241,0,0.00%,0.0,0.0,2,2,-,-
2019-02-27,489.98,40,2,2,161,2,5.00%,244.99,12.25,3,3,1,1
2019-02-28,50.7,46,1,1,186,1,2.17%,50.7,1.1,2,3,2,2
2019-03-01,0.0,40,0,0,128,0,0.00%,0.0,0.0,4,4,2,1
2019-03-02,0.0,42,0,0,113,0,0.00%,0.0,0.0,2,2,2,1
2019-03-03,169.99,34,1,1,124,1,2.94%,169.99,5.0,4,6,-,-
2019-03-04,0.0,55,0,0,190,0,0.00%,0.0,0.0,4,5,2,1
2019-03-05,0.0,38,0,0,108,0,0.00%,0.0,0.0,1,1,-,-
