Date,Revenue,Visitors,Buyers,Orders,Pageviews,Units Sold,Conversion Rate,Revenue per Buyer,Visitor Value,Add to Cart Visitors,Add to Cart Units,Wishlists,Wishlist Visitor
2018-11-30,0.0,47,0,0,139,0,0.00%,0.0,0.0,1,1,-,-
2018-12-01,0.0,53,0,0,174,0,0.00%,0.0,0.0,1,1,1,1
2018-12-02,0.0,51,0,0,179,0,0.00%,0.0,0.0,0,0,1,1
2018-12-03,0.0,56,0,0,161,0,0.00%,0.0,0.0,1,4,-,-
2018-12-04,0.0,57,0,0,156,0,0.00%,0.0,0.0,1,2,-,-
2018-12-05,0.0,54,0,0,253,0,0.00%,0.0,0.0,2,2,1,1
2018-12-06,0.0,69,0,0,172,0,0.00%,0.0,0.0,1,1,1,1
2018-12-07,0.0,64,0,0,181,0,0.00%,0.0,0.0,3,3,-,-
2018-12-08,335.19,62,1,1,141,1,1.61%,335.19,5.41,1,1,3,1
2018-12-09,0.0,71,0,0,286,0,0.00%,0.0,0.0,3,3,3,2
2018-12-10,0.0,95,0,0,259,0,0.00%,0.0,0.0,4,5,-,-
2018-12-11,51.1,95,1,1,311,1,1.05%,51.1,0.54,2,2,1,1
2018-12-12,0.0,119,0,0,412,0,0.00%,0.0,0.0,3,5,2,2
2018-12-13,0.0,62,0,0,213,0,0.00%,0.0,0.0,0,0,1,1
2018-12-14,0.0,53,0,0,195,0,0.00%,0.0,0.0,2,4,1,1
2018-12-15,0.0,48,0,0,115,0,0.00%,0.0,0.0,2,2,-,-
2018-12-16,0.0,61,0,0,179,0,0.00%,0.0,0.0,2,3,1,1
2018-12-17,0.0,51,0,0,201,0,0.00%,0.0,0.0,1,3,1,1
2018-12-18,0.0,55,0,0,152,0,0.00%,0.0,0.0,3,3,1,1
2018-12-19,0.0,53,0,0,152,0,0.00%,0.0,0.0,1,1,1,1
2018-12-20,0.0,38,0,0,140,0,0.00%,0.0,0.0,0,0,-,-
2018-12-21,0.0,41,0,0,92,0,0.00%,0.0,0.0,0,0,1,1
2018-12-22,0.0,39,0,0,80,0,0.00%,0.0,0.0,2,2,-,-
2018-12-23,0.0,43,0,0,88,0,0.00%,0.0,0.0,2,2,1,1
2018-12-24,0.0,36,0,0,84,0,0.00%,0.0,0.0,1,1,-,-
2018-12-25,51.1,32,1,1,89,1,3.12%,51.1,1.6,1,1,1,1
2018-12-26,0.0,35,0,0,134,0,0.00%,0.0,0.0,1,1,-,-
2018-12-27,0.0,29,0,0,61,0,0.00%,0.0,0.0,0,0,-,-
2018-12-28,0.0,33,0,0,115,0,0.00%,0.0,0.0,0,0,-,-
2018-12-29,0.0,28,0,0,131,0,0.00%,0.0,0.0,1,1,-,-
2018-12-30,51.1,52,1,1,166,1,1.92%,51.1,0.98,2,2,-,-
2018-12-31,329.99,46,1,1,125,1,2.17%,329.99,7.17,2,2,1,1
